Tick,RSM1000,NGN,WHEL,GEAR
0,0.0,0.0,0.0,0.0
299,95.3,23.53,27.05,22.32
298,95.29,23.53,27.0,22.26
297,95.77,23.71,26.77,22.55
296,95.19,23.57,26.96,22.25
295,94.97,23.44,26.96,22.13
294,94.27,23.11,27.31,21.74
293,94.05,23.11,27.39,21.58
292,94.34,23.16,27.36,21.76
291,94.56,23.15,27.27,21.81
290,94.17,23.12,27.49,21.6
289,94.39,23.16,27.45,21.71
288,94.52,23.34,27.4,21.8
287,94.75,23.39,27.32,21.92
286,94.6,23.3,27.42,21.88
285,94.52,23.28,27.6,21.81
284,95.03,23.39,27.36,22.14
283,95.92,23.66,27.07,22.69
282,95.63,23.56,27.1,22.49
281,95.36,23.48,27.36,22.26
280,95.27,23.5,27.33,22.21
279,95.18,23.49,27.38,22.18
278,95.03,23.38,27.43,22.14
277,95.06,23.42,27.37,22.26
276,95.31,23.47,27.12,22.36
275,95.41,23.41,27.04,22.4
274,95.82,23.57,26.9,22.6
273,95.86,23.6,27.05,22.65
272,95.97,23.71,27.06,22.69
271,96.38,23.84,26.84,22.8
270,95.51,23.62,27.25,22.36
269,94.51,23.37,27.87,21.77
268,94.32,23.33,27.88,21.69
267,93.96,23.2,28.13,21.43
266,94.21,23.18,27.93,21.54
265,94.79,23.31,27.8,21.85
264,94.46,23.19,28.06,21.75
263,94.25,22.99,28.17,21.54
262,93.49,22.76,28.56,21.14
261,92.91,22.56,28.89,20.83
260,92.99,22.65,28.77,20.92
259,92.55,22.46,28.98,20.65
258,93.12,22.65,28.78,20.95
257,92.8,22.54,28.91,20.82
256,92.54,22.42,29.05,20.74
255,92.76,22.53,28.93,20.82
254,93.24,22.67,28.68,21.14
253,92.98,22.63,28.79,21.0
252,93.53,22.84,28.49,21.27
251,92.88,22.6,28.73,20.81
250,92.19,22.26,28.95,20.42
249,92.05,22.24,29.1,20.38
248,92.72,22.39,28.8,20.83
247,92.5,22.31,28.99,20.73
246,92.86,22.37,28.9,20.95
245,93.3,22.54,28.79,21.23
244,93.28,22.51,28.79,21.25
243,93.37,22.5,28.77,21.22
242,93.39,22.55,28.72,21.26
241,93.65,22.66,28.55,21.49
240,94.29,22.95,28.44,21.9
239,93.67,22.73,28.81,21.51
238,93.54,22.66,28.93,21.49
237,93.78,22.68,28.84,21.62
236,93.57,22.48,28.95,21.48
235,93.47,22.53,29.1,21.56
234,94.31,22.81,28.63,22.01
233,94.43,22.86,28.67,22.13
232,94.38,22.92,28.62,22.08
231,94.57,22.89,28.53,22.16
230,95.14,23.12,28.33,22.53
229,94.8,22.97,28.55,22.28
228,94.84,22.96,28.55,22.31
227,94.08,22.85,28.85,21.92
226,93.32,22.55,29.19,21.56
225,93.29,22.66,29.3,21.55
224,92.99,22.54,29.54,21.38
223,92.06,22.24,30.02,20.9
222,92.27,22.28,29.93,21.01
221,92.09,22.18,30.09,20.87
220,92.04,22.23,30.22,20.83
219,91.93,22.29,30.24,20.76
218,92.0,22.24,30.23,20.84
