Tick,RSM1000,NGN,WHEL,GEAR
0,105.21,21.79,26.0,22.88
1,104.81,21.99,25.87,22.94
2,104.74,21.97,25.9,22.94
3,105.33,21.88,26.21,22.88
4,105.62,21.8,26.31,22.83
5,104.91,21.97,26.06,22.94
6,105.59,21.86,26.26,22.84
7,105.22,21.9,26.12,22.9
8,105.57,21.83,26.26,22.87
9,105.53,21.87,26.18,22.89
10,105.99,21.77,26.35,22.85
11,107.18,21.49,26.74,22.68
12,106.89,21.58,26.65,22.7
13,106.31,21.7,26.42,22.82
14,106.62,21.65,26.65,22.78
15,106.92,21.52,26.69,22.76
16,107.47,21.49,26.85,22.66
17,107.55,21.52,26.77,22.7
18,107.88,21.6,26.88,22.74
19,106.84,21.81,26.45,22.94
20,107.27,21.68,26.6,22.87
21,107.24,21.71,26.59,22.9
22,108.13,21.54,26.82,22.72
23,108.07,21.68,26.92,22.67
24,107.27,21.89,26.52,22.73
25,107.44,21.8,26.55,22.74
26,107.43,21.81,26.57,22.73
27,108.94,21.45,27.04,22.51
28,107.44,21.9,26.67,22.82
29,107.28,21.98,26.59,22.9
30,106.79,22.1,26.36,22.94
31,105.81,22.35,25.95,23.08
32,105.95,22.26,25.99,23.08
33,105.79,22.2,25.83,23.07
34,106.56,21.93,26.06,22.93
35,106.8,22.01,26.15,22.92
36,106.16,22.18,25.84,23.11
37,105.97,22.15,25.82,23.12
38,106.27,22.09,25.87,23.09
39,105.47,22.26,25.58,23.15
40,106.18,22.11,25.83,23.03
41,105.81,22.1,25.74,23.16
42,105.1,22.23,25.47,23.25
43,104.07,22.46,25.2,23.44
44,105.24,22.15,25.47,23.2
45,106.18,21.94,25.7,23.12
46,105.86,22.04,25.51,23.25
47,106.4,21.98,25.53,23.15
48,106.13,22.01,25.51,23.22
49,106.79,21.86,25.69,23.17
50,106.21,21.96,25.49,23.27
51,106.74,21.87,25.69,23.15
52,108.39,21.49,26.16,22.97
53,107.95,21.66,25.96,23.04
54,107.98,21.7,25.96,23.08
55,107.48,21.85,25.82,23.08
56,107.61,21.94,25.88,23.06
57,107.79,21.81,25.89,22.92
58,108.02,21.81,25.97,22.89
59,107.13,21.93,25.56,23.01
60,107.45,21.8,25.61,22.96
61,108.3,21.59,25.86,22.86
62,108.53,21.42,25.99,22.83
63,108.57,21.38,26.03,22.87
64,108.62,21.38,25.98,22.85
65,108.65,21.5,25.99,22.79
66,108.11,21.52,25.88,22.92
67,107.78,21.47,25.83,23.02
68,108.55,21.39,26.15,22.87
69,109.79,21.19,26.6,22.54
70,110.06,21.18,26.66,22.52
71,110.41,21.15,26.78,22.4
72,109.72,21.25,26.56,22.61
73,109.89,21.21,26.52,22.6
74,110.62,21.02,26.75,22.53
75,110.77,20.95,26.74,22.59
76,110.92,20.97,26.83,22.54
77,111.66,20.88,27.16,22.5
78,113.03,20.7,27.52,22.31
79,112.72,20.75,27.41,22.36
80,112.54,20.87,27.3,22.33
81,110.94,21.09,26.77,22.68
82,110.07,21.32,26.52,22.89
83,109.29,21.46,26.33,22.95
84,108.98,21.54,26.2,22.95
85,108.56,21.57,25.98,23.01
86,108.96,21.6,26.07,22.96
87,108.47,21.65,25.88,23.08
88,108.6,21.69,25.88,23.03
89,108.54,21.72,25.97,22.99
90,108.06,21.97,25.84,23.04
91,107.64,22.04,25.69,23.02
92,107.45,22.06,25.74,23.05
93,107.86,21.93,25.8,23.0
94,107.43,22.06,25.61,23.15
95,106.51,22.25,25.29,23.33
96,106.58,22.16,25.33,23.43
97,106.8,22.13,25.42,23.38
98,106.65,22.13,25.36,23.4
99,106.11,22.21,25.31,23.47
100,106.21,22.19,25.4,23.37
101,107.45,21.9,25.73,23.2
102,108.07,21.91,25.9,23.03
103,107.77,22.01,25.82,23.02
104,106.81,22.25,25.54,23.19
105,106.33,22.34,25.46,23.35
106,105.93,22.34,25.31,23.38
107,105.79,22.35,25.26,23.54
108,105.95,22.33,25.39,23.46
109,105.47,22.38,25.41,23.62
110,105.5,22.33,25.47,23.57
111,104.96,22.5,25.19,23.58
112,105.14,22.47,25.07,23.64
113,104.61,22.59,24.8,23.76
114,104.55,22.58,24.69,23.82
115,104.38,22.66,24.58,23.9
116,104.75,22.6,24.71,23.77
117,103.46,22.94,24.32,24.03
118,103.63,22.88,24.41,24.0
119,104.13,22.81,24.47,23.99
120,104.47,22.7,24.59,23.84
121,104.29,22.7,24.55,23.91
122,103.64,22.92,24.33,24.04
123,103.74,22.83,24.32,23.96
124,103.86,22.82,24.31,23.91
125,103.05,23.03,23.95,24.01
126,102.86,23.04,23.87,24.04
127,102.32,23.08,23.65,24.15
128,102.29,23.22,23.58,24.18
129,101.96,23.27,23.53,24.3
130,101.0,23.53,23.26,24.44
131,100.1,23.75,23.05,24.69
132,98.96,23.99,22.64,24.84
133,99.11,24.06,22.65,24.8
134,98.61,24.18,22.55,24.82
135,98.19,24.32,22.47,24.88
136,97.75,24.41,22.33,25.0
137,97.52,24.44,22.32,24.96
138,97.88,24.3,22.34,24.9
139,97.89,24.35,22.35,24.89
140,96.97,24.7,22.05,25.09
141,96.77,24.78,21.95,25.11
142,96.63,24.87,21.95,25.25
143,96.33,24.95,21.81,25.37
144,96.06,25.05,21.75,25.45
145,97.37,24.67,22.15,25.22
146,98.16,24.53,22.42,25.15
147,98.44,24.49,22.61,25.19
148,98.41,24.47,22.56,25.26
149,98.23,24.49,22.53,25.32
150,99.05,24.38,22.79,25.07
151,98.87,24.46,22.77,25.09
152,99.22,24.49,22.88,25.11
153,99.07,24.54,22.85,25.13
154,98.37,24.71,22.73,25.4
155,97.93,24.8,22.65,25.5
156,98.44,24.64,22.77,25.47
157,98.52,24.68,22.89,25.51
158,98.48,24.78,22.8,25.43
159,98.11,25.02,22.72,25.57
160,97.07,25.24,22.23,25.75
161,96.84,25.29,22.18,25.83
162,97.37,25.15,22.24,25.74
163,98.14,24.92,22.58,25.63
164,98.49,24.87,22.81,25.59
165,97.56,25.16,22.64,25.78
166,97.56,25.14,22.62,25.73
167,98.05,25.02,22.86,25.5
168,97.94,25.1,22.82,25.47
169,98.24,25.22,22.84,25.36
170,99.56,24.98,23.19,25.23
171,99.28,25.15,23.11,25.33
172,99.22,25.17,23.06,25.39
173,99.0,25.16,23.06,25.52
174,98.25,25.36,22.89,25.67
175,98.64,25.11,22.98,25.57
176,97.73,25.36,22.68,25.65
177,97.71,25.28,22.72,25.56
178,97.51,25.27,22.64,25.62
179,97.85,25.18,22.75,25.58
180,98.61,25.04,22.98,25.46
181,98.29,25.13,22.95,25.5
182,98.75,24.97,23.13,25.29
183,99.28,24.8,23.22,25.13
184,99.93,24.63,23.48,25.08
185,99.94,24.67,23.44,25.13
186,98.64,24.97,23.11,25.33
187,98.13,25.13,22.9,25.43
188,97.49,25.32,22.72,25.55
189,96.78,25.52,22.52,25.62
190,97.06,25.4,22.54,25.66
191,96.96,25.45,22.54,25.69
192,96.05,25.77,22.28,25.85
193,95.9,25.92,22.09,25.86
194,96.08,25.86,22.15,25.86
195,96.28,25.81,22.23,25.92
196,96.61,25.67,22.33,25.94
197,96.94,25.74,22.36,25.87
198,96.22,26.01,22.22,26.03
199,95.87,26.11,22.11,26.22
200,95.64,26.27,22.09,26.16
201,95.81,26.28,22.15,26.1
202,96.54,26.12,22.3,25.95
203,95.82,26.25,22.13,26.15
204,96.98,25.9,22.62,25.84
205,96.81,25.89,22.63,25.96
206,97.43,25.7,22.85,25.92
207,97.85,25.57,23.02,25.84
208,97.84,25.52,23.11,25.91
209,97.64,25.58,23.13,25.98
210,97.76,25.57,23.12,25.87
211,98.41,25.45,23.31,25.81
212,98.55,25.39,23.34,25.75
213,98.32,25.37,23.19,25.79
214,98.08,25.37,23.2,25.8
215,97.03,25.69,22.83,25.98
216,96.4,25.94,22.69,26.03
217,96.1,26.07,22.5,26.19
218,96.0,25.95,22.57,26.19
219,96.14,25.93,22.63,26.14
220,96.67,25.76,22.73,26.05
221,96.92,25.66,22.81,26.06
222,96.59,25.85,22.66,26.04
223,96.57,25.88,22.68,25.95
224,97.14,25.76,22.9,25.95
225,97.54,25.7,23.06,25.84
226,98.02,25.56,23.21,25.76
227,97.79,25.71,23.15,25.73
228,98.54,25.64,23.27,25.66
229,98.56,25.6,23.27,25.62
230,98.35,25.57,23.16,25.59
231,98.56,25.58,23.23,25.6
232,98.45,25.63,23.19,25.52
233,99.69,25.19,23.52,25.27
234,99.7,25.21,23.59,25.36
235,98.65,25.45,23.35,25.56
236,98.12,25.65,23.27,25.55
237,98.46,25.63,23.3,25.49
238,99.54,25.26,23.7,25.36
239,98.5,25.54,23.37,25.53
240,97.88,25.73,23.13,25.59
241,98.34,25.59,23.38,25.53
242,97.54,25.8,23.18,25.69
243,97.65,25.88,23.3,25.65
244,98.28,25.76,23.53,25.48
245,97.3,26.06,23.21,25.68
246,97.13,26.13,23.12,25.62
247,97.91,25.96,23.37,25.56
248,98.45,25.87,23.55,25.48
249,98.59,25.83,23.66,25.47
250,98.45,25.85,23.79,25.45
251,98.36,25.72,23.85,25.44
252,99.61,25.29,24.16,25.19
253,98.89,25.47,23.91,25.24
254,98.92,25.51,23.99,25.12
255,98.51,25.68,23.91,25.11
256,97.94,25.71,23.73,25.19
257,98.13,25.53,23.86,25.04
258,97.64,25.63,23.8,25.21
259,97.8,25.62,23.91,25.21
260,97.87,25.55,23.82,25.28
261,98.02,25.47,23.89,25.25
262,97.93,25.4,23.76,25.25
263,98.36,25.29,23.89,25.22
264,97.39,25.49,23.65,25.35
265,97.98,25.33,23.89,25.18
266,97.91,25.25,23.83,25.14
267,98.06,25.3,23.97,25.09
268,98.17,25.31,23.92,25.05
269,99.82,24.86,24.31,24.67
270,100.43,24.82,24.4,24.64
271,100.56,24.78,24.45,24.5
272,100.43,24.82,24.49,24.47
273,100.04,25.0,24.34,24.55
274,99.92,25.13,24.39,24.56
275,100.0,25.16,24.38,24.63
276,99.96,25.16,24.27,24.63
277,99.77,25.26,24.27,24.64
278,99.16,25.5,24.08,24.73
279,99.45,25.34,24.24,24.79
280,99.47,25.35,24.2,24.85
281,98.82,25.53,23.97,24.96
282,98.59,25.56,23.83,25.03
283,98.4,25.6,23.7,25.04
284,98.14,25.65,23.71,25.13
285,98.39,25.59,23.81,25.08
286,98.18,25.7,23.87,25.17
287,99.11,25.4,24.28,25.05
288,100.48,24.98,24.67,24.81
289,101.24,24.76,24.86,24.55
290,101.84,24.6,25.15,24.33
291,101.54,24.73,25.13,24.43
292,101.24,24.74,25.08,24.45
293,100.93,24.68,25.07,24.48
294,100.4,24.91,24.92,24.71
295,99.28,25.19,24.64,24.95
296,99.36,25.05,24.75,24.97
297,100.33,24.83,25.13,24.89
298,101.26,24.58,25.38,24.77
299,100.33,24.86,25.08,24.95
300,100.0,25.0,25.0,25.0
